id,title,release_date,vote_average,vote_count,budget,revenue,runtime,tagline,adult,production_companies,countries,language
68638,Malice in Wonderland,1982-08-11,6.2,27,0,0,5,,False,[],['United States of America'],en
317709,Three Women's Rancour,1982-08-12,8.0,1,0,0,93,,False,['Dong-a Export'],['South Korea'],ko
57901,The Last Horror Film,1982-08-12,5.258,64,0,0,87,She's Dying To Be In His Film…,False,"['Winters Hollywood Entertainment Holdings Corporation', 'Shere Productions']",['United States of America'],en
30875,Manhattan Baby,1982-08-12,5.059,94,300000,0,89,It's looking at you... from hell!,False,['Fulvia Film'],['Italy'],it
1198946,A Ghost Love Story of Japan,1982-08-13,0.0,0,0,0,91,,False,['FNN'],['Japan'],ja
9728,Friday the 13th Part III,1982-08-13,5.9,1498,2200000,36690067,95,A New Dimension In Terror...,False,"['Jason Productions', 'Georgetown Productions Inc.', 'Paramount Pictures', 'Sean S. Cunningham Films', 'Frank Mancuso Jr. Productions']",['United States of America'],en
1316590,"Seducer of the Night: Terror in the summer resort, bloodsucking fangs for blonde beauties",1982-08-14,0.0,0,0,0,111,,False,[],['Japan'],en
31646,Piranha II: The Spawning,1982-08-14,4.358,285,145786,0,84,It started as a vacation...,False,"['Brouwersgracht Investments', 'Chako Film Company', 'Columbia Pictures']","['Italy', 'Netherlands', 'United States of America']",en
747746,Ezham Rathri,1982-08-20,0.0,0,0,0,120,,False,[],['India'],ml
255680,The Eyes of the Amaryllis,1982-08-20,6.0,1,0,0,93,,False,[],['United States of America'],en
192987,Mongrel,1982-08-23,4.571,7,0,0,88,Tormented visions of a beast…,False,[],['United States of America'],en
47886,Pieces,1982-08-23,5.919,267,0,1198346,85,You don't have to go to Texas for a chainsaw massacre!,False,['Almena Films'],['Spain'],es
52702,Superstition,1982-08-26,6.191,123,0,0,85,You'll believe it just before you die...,False,['Penaria'],['United States of America'],en
1517272,Grudge: Blood-sucking higanbana calls the spirits of the dead,1982-08-27,0.0,0,0,0,92,,False,"['Daiei Pictures Kyoto Studio', '大映企画', 'CX']",['Japan'],ja
185693,Blue Woman,1982-08-28,2.5,2,0,0,68,My core is tingling from the awesome torture… A sadistic rope bites into a pure white breast!,False,['Nikkatsu Corporation'],['Japan'],ja
55948,I Was a Zombie for the F.B.I.,1982-08-30,3.8,6,0,0,75,,False,[],[],en
1377651,Night Terror Ward,1982-09-02,0.0,0,0,0,112,,False,"['TOEI CHANNEL', 'Yomiuri Telecasting Corporation']",['Japan'],ja
447798,Nightmarish Highway,1982-09-02,0.0,0,0,0,0,,False,"['Fong Kwang Film Co., Ltd.']",['Taiwan'],zh
1316621,Evil Spirit Princess Sakurako,1982-09-03,0.0,0,0,0,106,,False,[],['Japan'],ja
54868,Double Exposure,1982-09-03,4.275,20,1000000,0,95,A classic portrait in terror!,False,"['Silverstone Films', 'Crown International Pictures', 'Greyhill Productions']",['United States of America'],en
157709,The Living Koheiji,1982-09-04,6.5,4,0,0,78,,False,['Art Theatre Guild'],['Japan'],ja
1498287,Freddy,1982-09-06,10.0,1,0,0,0,,False,[],[],es
152227,The Secret of the Mummy,1982-09-06,4.5,14,0,0,85,,False,"['Embrafilme', 'Mapa Filmes', 'Super 8 Produções Cinematográficas Ltda.']",['Brazil'],pt
1175201,The Vampire Inspector,1982-09-07,0.0,0,0,0,91,,False,[],['Japan'],ja
358894,Dinner of Sexual Desires,1982-09-08,0.0,0,0,0,90,,False,[],[],pt
358892,Muitas Taras E Um Pesadelo,1982-09-08,0.0,0,0,0,98,,False,[],['Brazil'],pt
28574,Violence in a Women's Prison,1982-09-09,5.8,63,0,0,98,"The strong ones take, the weak ones give.",False,"['Les Films Jacques Leitienne', 'Beatrice Film', 'Imp.Ex.Ci.']","['France', 'Italy']",it
959496,Expensive Tastes,1982-09-10,0.0,0,0,0,89,,False,[],['Hong Kong'],cn
359109,Escalada da Violência,1982-09-10,5.0,4,0,0,92,,False,[],[],pt
282826,The Night of the Terrace 2,1982-09-10,3.5,2,0,0,98,,False,['Dacar Produções Cinematográficas'],['Brazil'],pt
24745,Sweeney Todd: The Demon Barber of Fleet Street,1982-09-12,7.987,38,0,0,140,A musical thriller.,False,['RKO/Nederlander Productions'],['United States of America'],en
351918,Psychophobia,1982-09-15,4.5,2,0,0,77,When the impossible becomes reality...,False,[],"['Italy', 'Spain']",es
107491,Curse of Evil,1982-09-15,5.667,6,0,0,79,,False,['Shaw Brothers'],['Hong Kong'],cn
64666,Scorpion with Two Tails,1982-09-17,4.6,22,0,0,94,,False,"['Dania Film', 'Medusa Distribuzione', 'Imp.Ex.Ci.', 'Les Films Jacques Leitienne']","['France', 'Italy']",it
91065,Invaders of the Lost Gold,1982-09-20,3.8,16,0,0,88,A safari of no return....,False,['Spectacular Trading Company'],"['Hong Kong', 'Italy']",en
1316762,Strange Tales of Magic,1982-09-22,0.0,0,0,0,86,,False,[],['Taiwan'],zh
58790,Blood Tide,1982-09-24,4.9,41,0,0,82,Evil lurks in the Ocean Depths,False,"['Connaught International', 'Athon']","['United Kingdom', 'Greece']",en
16235,Amityville II: The Possession,1982-09-24,5.724,375,5000000,12534817,104,If these walls could talk... they would shriek!,False,"['The De Laurentiis Company', 'Media Transactions', 'Estudios Churubusco Azteca S.A.', 'Orion Pictures']","['Mexico', 'United States of America']",en
361547,Evil Excitement,1982-09-26,0.0,0,0,0,86,,False,[],[],es
104262,Wolf Devil Woman,1982-09-28,5.7,6,0,0,85,,False,['Tung Tai Film Company'],['Taiwan'],zh
24740,The Entity,1982-09-30,6.711,515,9000000,13277558,125,There is no escape from something you cannot see.,False,"['American Cinema Productions', '20th Century Fox']",['United States of America'],en
1022470,Niku dorei: Kanashiki gangu,1982-10-01,5.5,2,0,0,68,,False,['Nikkatsu Corporation'],['Japan'],ja
85192,Blood Song,1982-10-01,4.8,22,0,0,89,When he whistles this tune... The time for killing begins.,False,"['Mountain High Enterprises', 'Allstate Film Company']",['United States of America'],en
73116,Brimstone & Treacle,1982-10-01,5.893,28,0,0,87,"Mirror, mirror on the wall, who wreaks havoc on us all?",False,[],['United Kingdom'],en
1331089,Resurrection,1982-10-03,0.0,0,0,0,14,,False,"['Joey Harlow Productions', 'Laguna Films (II)']",['United States of America'],en
555546,Naftalina,1982-10-07,0.0,0,0,0,0,,False,[],['Spain'],es
136593,Crosstalk,1982-10-08,4.6,5,0,0,83,Only the computer saw the murder…and it liked what it saw…,False,"['New South Wales Film Corp.', 'Wall to Wall Pty', 'Filmside Productions Limited']",['Australia'],en
54121,The Slayer,1982-10-08,5.293,82,0,0,80,She searched through the dark corridors of the unknown only to find ... The Slayer,False,['The International Picture Show Company'],['United States of America'],en
415379,Lullaby of Death,1982-10-09,5.0,2,0,0,111,,False,"['Shochiku', 'KADOKAWA', 'Office Henmi Creative Inc.']",['Japan'],ja
189307,Back from Beyond,1982-10-11,1.0,1,0,0,70,,False,[],[],es
85194,Deadly Games,1982-10-12,3.0,25,0,0,95,Only he will hear your scream!,False,"['Great Plains Films', 'Monterey Films']",['United States of America'],en
388758,Meurtres A Domicile,1982-10-13,5.0,1,0,0,90,,False,"['Babylone Films', 'ODEC']",['France'],fr
54116,Unhinged,1982-10-14,4.675,40,0,0,80,The Nightmare Begins When You Wake Up!,False,['Anavisio Productions'],['United States of America'],en
238596,Claws,1982-10-15,5.5,2,0,0,84,A film you won’t want to watch alone...,False,['International Noor Productions'],['South Africa'],en
30918,Blood Link,1982-10-15,5.1,17,0,0,98,"Bound by Blood, Severed by Murder!",False,['Zadar Film'],"['Germany', 'Italy', 'United States of America']",en
139404,Hotline,1982-10-16,5.6,9,0,0,96,Hang up! Before HE comes to cut you off...DEAD!,False,['Ron Samuels Productions'],['United States of America'],en
254250,Till Death Do We Scare,1982-10-21,5.6,7,0,0,91,,False,['Cinema City & Films Co.'],['Hong Kong'],cn
106511,The Snake Queen,1982-10-21,7.0,2,0,0,82,,False,['Rapi Films'],['Indonesia'],id
69870,The Sender,1982-10-22,5.6,55,0,0,91,He has the power to make you live his nightmares... And he's dreaming about you.,False,"['Kingsmere', 'Paramount Pictures']",['United Kingdom'],en
10676,Halloween III: Season of the Witch,1982-10-22,5.2,1447,2500000,14400000,99,The night no one comes home.,False,"['Universal Pictures', 'The De Laurentiis Company']",['United States of America'],en
77010,The Living Dead Girl,1982-10-23,5.936,86,0,0,86,,False,"['Les Films du Yaka', 'Films A.B.C.', 'Les Films Aleriaz']",['France'],fr
69163,The Clairvoyant,1982-10-24,5.3,11,0,0,97,,False,[],[],en
268580,Second Sight,1982-10-27,5.2,2,0,0,101,,False,"['Tura-Film', 'BR']",['Germany'],de
29702,Tenebre,1982-10-28,6.816,656,0,0,101,Terror Beyond Belief!,False,['Produzioni Intersound'],['Italy'],it
21158,A Stranger Is Watching,1982-10-28,4.6,21,3200000,2519559,92,"Beneath New York's Grand Central Station, a killer can hide, victims can disappear... and a million witnesses will never know it happened.",False,"['Heron Communications', 'Metro-Goldwyn-Mayer']",['United States of America'],en
85202,Trick or Treats,1982-10-29,3.944,36,55000,0,91,Halloween's over. Now it's the kids' turn to get even!,False,['Lone Star Pictures International'],['United States of America'],en
39547,Centipede Horror,1982-10-29,5.2,17,0,0,93,,False,"[""Nikko Int'l Productions & Films (H.K.) Ltd.""]",['Hong Kong'],cn
33374,Class Reunion,1982-10-29,5.0,42,0,0,84,No class has less class than this class,False,"['ABC Motion Pictures', '20th Century Fox']",['United States of America'],en
1019999,Halloween 4: Dawn of the Dreary,1982-10-31,0.0,0,0,0,2,,False,[],['United States of America'],en
1077817,Cadaveri,1982-11-01,7.0,1,0,0,46,,False,[],['Italy'],it
66881,Nightbeast,1982-11-01,4.09,67,14000,0,81,If you have the guts...IT WANTS THEM!,False,['Amazing Film Productions'],['United States of America'],en
30049,Time Walker,1982-11-01,4.0,41,750000,0,83,For eons they traveled the galaxies. For centuries one was trapped in a Pharaoh's tomb. Now he is free.,False,"['Wescom Productions', 'Byzantine Productions', 'New World Pictures']",['United States of America'],en
27630,The Black Room,1982-12-09,4.3,20,250000,2160000,88,"There is a room for rent in the Hollywood Hills, and the tenants are paying in blood!",False,"['Lancer Productions Limited', 'Butler-Cronin Productions', 'Ram Productions']",['United States of America'],en
567501,World War Mud,1982-11-10,6.0,1,1800,0,55,"World War Mud, delta red invasion, equals Mud Hell.",False,['Non-toxic Studio'],['United States of America'],en
16281,Creepshow,1982-11-10,6.9,1085,8000000,21028755,120,The Most Fun You'll Ever Have BEING SCARED!,False,"['Laurel Entertainment', 'United Film Distribution Company (UFDC)']",['United States of America'],en
3028,Jekyll and Hyde... Together Again,1982-11-10,4.9,20,0,0,87,The comedy that examines modern living through chemistry.,False,['Paramount Pictures'],['United States of America'],en
76681,Wacko,1982-11-12,5.1,29,0,0,85,"At last! A motion picture made by, for, and about people.... just like you!",False,['Jensen Farley Pictures'],['United States of America'],en
40952,Alone in the Dark,1982-11-12,5.8,152,1000000,0,93,"When the lights go out, the terror begins.",False,"['Masada Productions', 'New Line Cinema']",['United States of America'],en
171292,"I, Desire",1982-11-15,5.8,5,0,0,95,I hunger. I hunt. I strike. I feast.,False,"['Green/Epstein Productions', 'Columbia Pictures Television', 'ABC']",['United States of America'],en
28806,Mansion of the Living Dead,1982-11-18,4.286,28,0,0,97,A Crazy Jess Franco Experiment!,False,['Golden Films Internacional S.A.'],['Spain'],es
40229,The House on Sorority Row,1982-11-19,5.7,222,425000,10604986,91,Sorority sisters... Sisters in life. Sisters in death.,False,"['VAE Productions', 'Artists Releasing Corporation (ARC)', 'Film Ventures International']",['United States of America'],en
32048,Still of the Night,1982-11-19,5.725,142,10000000,6000000,91,If looks could kill...,False,"['United Artists', 'Metro-Goldwyn-Mayer']",['United States of America'],en
1054977,Attacco dei Morti Viventi,1982-11-24,0.0,0,0,0,0,,False,"['Colorvision', 'Studio Domani', 'MCMLXXXII']",['Italy'],it
81887,Murder by Phone,1982-12-01,5.159,22,0,0,90,A madman pushes a button and kills by phone. Would you answer?,False,"['Coco Films I', 'Canadian Film Development Corporation', 'Famous Players']","['United States of America', 'Canada']",en
185648,The Girl and the Wooden Horse Torture,1982-12-03,5.7,18,0,0,68,,False,['Nikkatsu Corporation'],['Japan'],ja
25834,Xtro,1982-12-06,5.814,226,0,0,86,Some extra-terrestrials aren't friendly.,False,"['Amalgamated Film Enterprises', 'Ashley Productions Ltd.', 'New Realm Entertainments']",['United Kingdom'],en
113674,Panic,1982-12-07,4.2,21,0,0,90,PRAY it doesn't happen HERE,False,"['Arco Films', 'European Film Distribuzione', 'Nuova Glassia Films']","['Italy', 'Spain']",it
316018,The Evil Girl,1982-12-10,5.0,1,0,0,78,,False,[],['Taiwan'],zh
85195,Don't Go to Sleep,1982-12-10,6.6,35,0,0,93,Mary thinks there is something alive under her bed. Mary is right.,False,"['Warner Bros. Television', 'Aaron Spelling Productions']",['United States of America'],en
317712,The Legend of Sayo,1982-12-17,6.3,3,0,0,108,,False,"['Tetsu Productions', 'Azabu Kikaku', 'Haiyuza Eiga Hoso Company', 'Iwate Broadcasting']",['Japan'],ja
315221,"Good Night, Mr. Monster",1982-12-18,7.2,10,0,0,82,,False,['José Frade Producciones Cinematográficas'],['Spain'],es
73626,Hysterical,1982-12-22,4.6,13,6000000,0,90,It'll snap your mind.,False,"['Cinema Group Ventures', 'Embassy Pictures']",['United States of America'],en
67347,The Dead and the Deadly,1982-12-22,6.0,23,0,0,99,,False,"['Bo Ho Films', 'Orange Sky Golden Harvest']",['Hong Kong'],cn
317578,Haplos,1982-12-25,10.0,1,0,0,120,Somewhere between obsession and desire.,False,['Mirick Films International'],['Philippines'],tl
1067740,Zhong Guo kai guo qi tan,1982-12-31,0.0,0,0,0,28,Stories about the founding of China,False,"['Jinhua Co., Ltd.']",[],zh
640605,Memories of the Seaside,1982-12-31,5.0,1,0,0,5,,False,[],['Japan'],ja
576322,Ghost in the Water,1982-12-31,6.5,2,0,0,49,,False,['BBC'],['United Kingdom'],en
104729,Midnight,1982-12-31,5.2,23,0,0,94,A Startling & Shocking Adventure - As Three College Students Take a Strange Detour to the Land of the LIVING DEAD!,False,['Congregational Productions'],['United States of America'],en
40464,Boardinghouse,1982-12-31,3.865,26,0,0,99,"Where the rent won't KILL you, but something else WILL!",False,['Blustarr'],['United States of America'],en
37935,One Dark Night,1982-12-31,5.4,106,978000,0,94,A night to remember - until the day you die!,False,[],['United States of America'],en
87852,Microwave Massacre,1983-08-31,4.35,90,0,0,76,They Came For Dinner... To Find They Were It!!,False,['Reel Life Productions'],['United States of America'],en
345781,The Outcasts,1983-10-10,6.8,4,260000,0,95,,False,['Tolmayax'],['Ireland'],en
91609,BrainWaves,1983-08-05,4.091,11,0,0,77,They have violated the human mind.,False,['CinAmerica'],['United States of America'],en
157276,The Appointment,1983-01-15,6.271,24,800000,0,90,A chilling tale of the supernatural!,False,['First Principle Film Productions'],['United Kingdom'],en
1517302,Ghost Fossil,1983-01-01,0.0,0,0,0,0,,False,[],['Taiwan'],zh
1375679,Pesadilla 2,1983-01-01,0.0,0,0,0,0,,False,['Instituto Ciencias de Guadalajara'],['Mexico'],es
1375676,El lugar del corazón,1983-01-01,0.0,0,0,0,30,,False,"['Centro de Capacitación Cinematográfica (CCC)', 'Universidad Iberoamericana']",['Mexico'],es
